Título;Autores;Autorias compartilhadas;Editores;Editores de livros;Título da fonte;Data de publicação;Ano da publicação;Volume;Edição;Número da edição;Suplemento;Edição especial;Página inicial;Página final;Número do artigo;DOI;Título da conferência;Data da conferência;Total de citações;Média por ano;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Comparison of Spirulina platensis microalgae and commercial activated carbon as adsorbents for the removal of Reactive Red 120 dye from aqueous effluents;"Cardoso, Natali F.; Lima, Eder C.; Royer, Betina; Bach, Marta V.; Dotto, Guilherme L.; Pinto, Luiz A. A.; Calvete, Tatiana";;;;JOURNAL OF HAZARDOUS MATERIALS;NOV 30 2012;2012;241;;;;;146;153;;10.1016/j.jhazmat.2012.09.026;;;139;13,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;12;13;14;23;22;31;16;0
Extraction of lipids from microalgae by ultrasound application: Prospection of the optimal extraction method;"Araujo, Glacio S.; Matos, Leonardo J. B. L.; Fernandes, Jader O.; Cartaxo, Samuel J. M.; Goncalves, Luciana R. B.; Fernandes, Fabiano A. N.; Farias, Wladimir R. L.";;;;ULTRASONICS SONOCHEMISTRY;JAN 2013;2013;20;1;;;;95;98;;10.1016/j.ultsonch.2012.07.027;;;135;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19;21;20;18;19;24;13;0
The role of biochemical engineering in the production of biofuels from microalgae;"Vieira Costa, Jorge Alberto; de Morais, Michele Greque";;;;BIORESOURCE TECHNOLOGY;JAN 2011;2011;102;1;;;SI;2;9;;10.1016/j.biortech.2010.06.014;;;131;11,91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;23;19;10;6;15;11;9;18;10;0
Comparing the use of different domestic wastewaters for coupling microalgal production and nutrient removal;"Dominguez Cabanelas, Iago Teles; Ruiz, Jesus; Arbib, Zouhayr; Chinalia, Fabio Alexandre; Garrido-Perez, Carmen; Rogalla, Frank; Nascimento, Iracema Andrade; Perales, Jose A.";;;;BIORESOURCE TECHNOLOGY;MAR 2013;2013;131;;;;;429;436;;10.1016/j.biortech.2012.12.152;;;116;12,89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9;20;18;16;19;16;13;2
Production of FAMEs from several microalgal lipidic extracts and direct transesterification of the Chlorella pyrenoidosa;"Montes D'Oca, Marcelo G.; Viegas, Carolina V.; Lemoes, Juliana S.; Miyasaki, Eriksen K.; Moron-Villarreyes, Joaquin A.; Primel, Ednei G.; Abreu, Paulo C.";;;;BIOMASS & BIOENERGY;APR 2011;2011;35;4;;;SI;1533;1538;;10.1016/j.biombioe.2010.12.047;;;113;10,27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12;9;13;8;18;14;17;12;9;0
Mixotrophic cultivation of microalga Spirulina platensis using molasses as organic substrate;"Andrade, Michele R.; Costa, Jorge A. V.";;;;AQUACULTURE;APR 6 2007;2007;264;1-4;;;;130;134;;10.1016/j.aquaculture.2006.11.021;;;108;7,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;7;6;11;8;5;19;9;12;7;8;9;2
Distribution of intracellular nitrogen in marine microalgae: Basis for the calculation of specific nitrogen-to-protein conversion factors;"Lourenco, SO; Barbarino, E; Marquez, UML; Aidar, E";;;;JOURNAL OF PHYCOLOGY;OCT 1998;1998;34;5;;;;798;811;;10.1046/j.1529-8817.1998.340798.x;;;105;4,38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;5;2;3;1;3;4;0;3;7;8;8;7;10;11;7;7;8;5;0
Stable isotope analysis indicates microalgae as the predominant food source of fauna in a coastal forest stream, south-east Brazil;"Brito, Ernesto Fuentes; Moulton, Timothy P.; De Souza, Marcelo L.; Bunn, Stuart E.";;;;AUSTRAL ECOLOGY;AUG 2006;2006;31;5;;;;623;633;;10.1111/j.1442-9993.2006.01610.x;;;95;5,94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;6;8;6;8;6;7;6;6;15;12;2;3;0
Effects of flocculants on lipid extraction and fatty acid composition of the microalgae Nannochloropsis oculata and Thalassiosira weissflogii;"Borges, Lucelia; Moron-Villarreyes, Joaquin A.; Montes D'Oca, Marcelo G.; Abreu, Paulo Cesar";;;;BIOMASS & BIOENERGY;OCT 15 2011;2011;35;10;;;;4449;4454;;10.1016/j.biombioe.2011.09.003;;;87;7,91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13;11;9;12;4;14;14;7;2
Bioprospecting for oil producing microalgal strains: Evaluation of oil and biomass production for ten microalgal strains;"Araujo, Glacio S.; Matos, Leonardo J. B. L.; Goncalves, Luciana R. B.; Fernandes, Fabiano A. N.; Farias, Wladimir R. L.";;;;BIORESOURCE TECHNOLOGY;APR 2011;2011;102;8;;;;5248;5250;;10.1016/j.biortech.2011.01.089;;;86;7,82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;10;12;10;11;12;4;5;12;0
