Título;Autores;Autorias compartilhadas;Editores;Editores de livros;Título da fonte;Data de publicação;Ano da publicação;Volume;Edição;Número da edição;Suplemento;Edição especial;Página inicial;Página final;Número do artigo;DOI;Título da conferência;Data da conferência;Total de citações;Média por ano;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Co-Culture of Microalgae, Cyanobacteria, and Macromycetes for Exopolysaccharides Production: Process Preliminary Optimization and Partial Characterization;"Angelis, S.; Novak, A. C.; Sydney, E. B.; Soccol, V. T.; Carvalho, J. C.; Pandey, A.; Noseda, M. D.; Tholozan, J. L.; Lorquin, J.; Soccol, C. R.";;;;APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY;JUL 2012;2012;167;5;;;;1092;1106;;10.1007/s12010-012-9642-7;;;20;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;3;8;4;0
Effect of Microalga Spirulina platensis (Arthrospira platensis) on Hippocampus Lipoperoxidation and Lipid Profile in Rats with Induced Hypercholesterolemia;"Bertolin, Telma Elita; Pilatti, Dayane; Vendrametto Varrone Giacomini, Ana Cristina; Bavaresco, Caren Serra; Colla, Luciane Maria; Vieira Costa, Jorge Alberto";;;;BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY;SEP-OCT 2009;2009;52;5;;;;1253;1259;;10.1590/S1516-89132009000500024;;;20;1,54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;4;0;3;4;2;2;0
Comparison of secretory signal peptides for heterologous protein expression in microalgae: Expanding the secretion portfolio for Chlamydomonas reinhardtii;"Dutra Molino, Joao Vitor; Monteiro de Carvalho, Joao Carlos; Mayfield, Stephen Patrick";;;;PLOS ONE;FEB 6 2018;2018;13;2;;;;;;e0192433;10.1371/journal.pone.0192433;;;19;4,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;12;0
Towards energy neutral microalgae-based wastewater treatment plants;"Passos, Fabiana; Gutierrez, Raquel; Uggetti, Enrica; Garfi, Marianna; Garcia, Joan; Ferrer, Ivet";;;;ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS;DEC 2017;2017;28;;;;;235;243;;10.1016/j.algal.2017.11.006;;;19;3,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;5;0
Obtaining biodiesel from microalgae oil using ultrasound-assisted in-situ alkaline transesterification;"Martinez, Natalia; Callejas, Nicolas; Morais, Etiele G.; Vieira Costa, Jorge A.; Jachmanian, Ivan; Vieitez, Ignacio";;;;FUEL;AUG 15 2017;2017;202;;;;;512;519;;10.1016/j.fuel.2017.04.040;;;19;3,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;6;6;0
Contrasting strategies used by lichen microalgae to cope with desiccation-rehydration stress revealed by metabolite profiling and cell wall analysis;"Centeno, Danilo C.; Hell, Aline F.; Braga, Marcia R.; del Campo, Eva M.; Casano, Leonardo M.";;;;ENVIRONMENTAL MICROBIOLOGY;MAY 2016;2016;18;5;;;;1546;1560;;10.1111/1462-2920.13249;;;19;3,17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;5;6;0
Life cycle assessment of biomass production in microalgae compact photobioreactors;"Silva, Angela G.; Carter, Richard; Merss, Felipe L. M.; Correa, Diego O.; Vargas, Jose V. C.; Mariano, Andre B.; Ordonez, Juan C.; Scherer, Marisa D.";;;;GLOBAL CHANGE BIOLOGY BIOENERGY;MAR 2015;2015;7;2;;;;184;194;;10.1111/gcbb.12120;;;19;2,71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;6;3;5;2;0
Dynamic modeling of the microalgae cultivation phase for energy production in open raceway ponds and flat panel photobioreactors;"Marsullo, Matteo; Mian, Alberto; Ensinas, Adriano Viana; Manente, Giovanni; Lazzaretto, Andrea; Marechal, Francois";;;;FRONTIERS IN ENERGY RESEARCH;2015;2015;;;;;;;;41;10.3389/fenrg.2015.00041;;;19;2,71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;5;4;7;0
Harvesting of the marine microalga Conticribra weissflogii (Bacillariophyceae) by cationic polymeric flocculants;"Koenig, Ricardo Bessler; Sales, Rafael; Roselet, Fabio; Abreu, Paulo Cesar";;;;BIOMASS & BIOENERGY;SEP 2014;2014;68;;;;;1;6;;10.1016/j.biombioe.2014.06.001;;;19;2,38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;3;4;4;0
Fish processing wastewater as a platform of the microalgal biorefineries;"Queiroz, Maria Isabel; Hornes, Marcio Oliveira; da Silva Manetti, Adriana Goncalves; Zepka, Leila Queiroz; Jacob-Lopes, Eduardo";;;;BIOSYSTEMS ENGINEERING;JUN 2013;2013;115;2;;;;195;202;;10.1016/j.biosystemseng.2012.12.013;;;19;2,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;1;3;3;3;2;0
Improving refinery wastewater for microalgal biomass production and CO2 biofixation: Predictive modeling and simulation;"Ferreira Lacerda, Lucy Mara Cacia; Queiroz, Maria Isabel; Furlan, Luis Tadeu; Lauro, Mauro Jose; Modenesi, Kelerson; Jacob-Lopes, Eduardo; Franco, Telma Teixeira";;;;JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING;SEP 2011;2011;78;3-4;;;;679;686;;10.1016/j.petrol.2011.07.003;;;19;1,73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;5;3;1;0;2;0
Repeated batch cultivation of the microalga Spirulina platensis;"Reinehr, Christian Oliveira; Vieira Costa, Jorge Alberto";;;;WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY;SEP 2006;2006;22;9;;;;937;943;;10.1007/s11274-006-9138-0;;;19;1,19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;3;1;2;0;1;2;0;1;1;0;4;0
Extra and intracelular activities of carbonic anhydrase of the marine microalga Tetraselmis gracilis (Chlorophyta);"Rigobello-Masini, M; Aidar, E; Masini, JC";;;;BRAZILIAN JOURNAL OF MICROBIOLOGY;JUL-SEP 2003;2003;34;3;;;;267;272;;10.1590/S1517-83822003000300017;;;19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;3;1;1;2;2;1;3;2;0
Microalgae cultivation for municipal and piggery wastewater treatment in Brazil;"Leite, Luan de Souza; Hoffmann, Maria Teresa; Daniel, Luiz Antonio";;;;JOURNAL OF WATER PROCESS ENGINEERING;OCT 2019;2019;31;;;;;;;100821;10.1016/j.jwpe.2019.100821;;;18;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;14;2
Strategies to Optimize Microalgae Conversion to Biogas: Co-Digestion, Pretreatment and Hydraulic Retention Time;"Sole-Bundo, Maria; Salvado, Humbert; Passos, Fabiana; Garfi, Marianna; Ferrer, Ivet";;;;MOLECULES;SEP 2018;2018;23;9;;;;;;2096;10.3390/molecules23092096;;;18;4,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;9;1
Comparison between coagulation-flocculation and ozone-flotation for Scenedesmus microalgal biomolecule recovery and nutrient removal from wastewater in a high-rate algal pond;"Oliveira, Gislayne Alves; Carissimi, Elvis; Monje-Ramirez, Ignacio; Velasquez-Orta, Sharon B.; Rodrigues, Rafael Teixeira; Orta Ledesma, Maria Teresa";;;;BIORESOURCE TECHNOLOGY;JUL 2018;2018;259;;;;;334;342;;10.1016/j.biortech.2018.03.072;;;18;4,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;8;2
Effect of microalgae addition on active biodegradable starch film;"Carissimi, Mariel; Flores, Simone Hickmann; Rech, Rosane";;;;ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS;JUN 2018;2018;32;;;;;201;209;;10.1016/j.algal.2018.04.001;;;18;4,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;9;1
Productivity and fuel quality parameters of lipids obtained from 12 species of microalgae from the northeastern region of Brazil;"Calixto, Clediana Dantas; da Silva Santana, Jordana Kaline; Tiburcio, Viviane Pereira; Bezerra Lira de Pontes, Liliana de Fatima; da Costa Sassi, Cristiane Francisca; da Conceicao, Marta Maria; Sassi, Roberto";;;;RENEWABLE ENERGY;JAN 2018;2018;115;;;;;1144;1152;;10.1016/j.renene.2017.09.029;;;18;4,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;10;0
Magnetic fields as triggers of microalga growth: evaluation of its effect on Spirulina sp.;"Deamici, Kricelle Mosquera; Vieira Costa, Jorge Alberto; Santos, Lucielen Oliveira";;;;BIORESOURCE TECHNOLOGY;NOV 2016;2016;220;;;;;62;67;;10.1016/j.biortech.2016.08.038;;;18;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;10;0
Metrics for sustainability analysis of post-combustion abatement of CO2 emissions: Microalgae mediated routes and CCS (carbon capture and storage);"Fernandes Araujo, Ofelia de Queiroz; de Medeiros, Jose Luiz; Yokoyama, Lidia; Vaz Morgado, Claudia do Rosario";;;;ENERGY;DEC 1 2015;2015;92;;3;;SI;556;568;;10.1016/j.energy.2015.03.116;;;18;2,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2;4;5;1
Differences in the cell walls and extracellular polymers of the two Trebouxia microalgae coexisting in the lichen Ramalina farinacea are consistent with their distinct capacity to immobilize extracellular Pb;"Casano, Leonardo M.; Braga, Marcia R.; Alvarez, Raquel; del Campo, Eva M.; Barreno, Eva";;;;PLANT SCIENCE;JUL 2015;2015;236;;;;;195;204;;10.1016/j.plantsci.2015.04.003;;;18;2,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;3;9;0
Antioxidant enzymes are induced by phenol in the marine microalga Lingulodinium polyedrum;"Martins, P. L. G.; Marques, L. G.; Colepicolo, P.";;;;ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY;JUN 2015;2015;116;;;;;84;89;;10.1016/j.ecoenv.2015.03.003;;;18;2,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;4;4;3;1
Effects from log-yard stormwater runoff on the microalgae Scenedesmus subspicatus: Intra-storm magnitude and variability;"Kaczala, Fabio; Salomon, Paulo S.; Marques, Marcia; Graneli, Edna; Hogland, William";;;;JOURNAL OF HAZARDOUS MATERIALS;JAN 30 2011;2011;185;2-3;;;;732;739;;10.1016/j.jhazmat.2010.09.080;;;18;1,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;2;2;2;0;1;1;5;0
The behaviour of the microalgae Tetraselmis chuii in cadmium-contaminated solutions;"da Costa, ACA; de Franca, FP";;;;AQUACULTURE INTERNATIONAL;JAN 1998;1998;6;1;;;;57;66;;10.1023/A:1009221820135;;;18;0,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;1;0;1;0;1;1;2;0;1;1;1;1;2;2;0
Wastewater treatment by microalgae can generate high quality biodiesel feedstock;"Rinna, Francesca; Buono, Silvia; Cabanelas, Iago Teles Dominguez; Nascimento, Iracema Andrade; Sansone, Giovanni; Assunta Barone, Carmela Maria";;;;JOURNAL OF WATER PROCESS ENGINEERING;AUG 2017;2017;18;;;;;144;149;;10.1016/j.jwpe.2017.06.006;;;17;3,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;9;2;0
Effects of diuron and carbofuran and their mixtures on the microalgae Raphidocelis subcapitata;"Mansano, Adrislaine S.; Moreira, Raquel A.; Dornfeld, Hugo C.; Freitas, Emanuela C.; Vieira, Eny M.; Sarmento, Hugo; Rocha, Odete; Seleghim, Mirna H. R.";;;;ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY;AUG 2017;2017;142;;;;;312;321;;10.1016/j.ecoenv.2017.04.024;;;17;3,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;9;0
Effect of harvesting processes on the lipid yield and fatty acid profile of the marine microalga Nannochloropsis oculata;"Borges, Lucelia; Caldas, Sergiane; Montes D'Oca, Marcelo G.; Abreu, Paulo Cesar";;;;AQUACULTURE REPORTS;NOV 2016;2016;4;;;;;164;168;;10.1016/j.aqrep.2016.10.004;;;17;2,83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;8;0
Reuse of microalgae grown in full-scale wastewater treatment ponds: Thermochemical pretreatment and biogas production;"Passos, Fabiana; Felix, Leonardo; Rocha, Hemyle; Pereira, Jackson de Oliveira; de Aquino, Sergio";;;;BIORESOURCE TECHNOLOGY;JUN 2016;2016;209;;;;;305;312;;10.1016/j.biortech.2016.03.006;;;17;2,83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;5;3;3;1
Reducing the life cycle GHG emissions of microalgal biodiesel through integration with ethanol production system;"Maranduba, Henrique Leonardo; Robra, Sabine; Nascimento, Iracema Andrade; da Cruz, Rosenira Serpa; Rodrigues, Luciano Brito; de Almeida Neto, Jose Adolfo";;;;BIORESOURCE TECHNOLOGY;OCT 2015;2015;194;;;;;21;27;;10.1016/j.biortech.2015.06.113;;;17;2,43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;7;3;2;0
Nitrogen Starvation for Lipid Accumulation in the Microalga Species Desmodesmus sp.;"Rios, L. F.; Klein, B. C.; Luz, L. F., Jr.; Maciel Filho, R.; Wolf Maciel, M. R.";;;;APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY;JAN 2015;2015;175;1;;;;469;476;;10.1007/s12010-014-1283-6;;;17;2,43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2;3;4;2;0
Effect of polysaccharide capsule of the microalgae Staurastrum iversenii var. Americanum on diffusion of charged and uncharged molecules, using EPR technique;"Freire-Nordi, CS; Vieira, AAH; Nakaie, CR; Nascimento, OR";;;;BRAZILIAN JOURNAL OF PHYSICS;MAR 2006;2006;36;1A;;;;75;82;;;;;17;1,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;2;0;1;1;3;3;1;3;0;0
Influence of nitrogen on growth, biomass composition, production, and properties of polyhydroxyalkanoates (PHAs) by microalgae;"Costa, Samantha Serra; Miranda, Andrea Lobo; Andrade, Bianca Bomfim; Assis, Denilson de Jesus; Souza, Carolina Oliveira; de Morais, Michele Greque; Vieira Costa, Jorge Alberto; Druzian, Janice Izabel";;;;INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES;SEP 2018;2018;116;;;;;552;562;;10.1016/j.ijbiomac.2018.05.064;;;16;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;5;1
Defatted microalgal biomass as biosorbent for the removal of Acid Blue 161 dye from tannery effluent;"da Fontoura, Juliana Tolfo; Rolim, Guilherme Sebastiao; Mella, Bianca; Farenzena, Marcelo; Gutterres, Mariliz";;;;JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING;OCT 2017;2017;5;5;;;;5076;5084;;10.1016/j.jece.2017.09.051;;;16;3,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;6;1
Sustainable production of biodiesel from microalgae by direct transesterification;"Lemoes, Juliana S.; Alves Sobrinho, Rui C. M.; Farias, Sabrina P.; de Moura, Renata R.; Primel, Ednei G.; Abreu, Paulo C.; Martins, Ayrton F.; Montes D'Oca, Marcelo G.";;;;SUSTAINABLE CHEMISTRY AND PHARMACY;JUN 2016;2016;3;;;;;33;38;;10.1016/j.scp.2016.01.002;;;16;2,67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;6;4;0
Microalgae biofilm in soil: Greenhouse gas emissions, ammonia volatilization and plant growth;"Castro, Jackeline de Siqueira; Calijuri, Maria Lucia; Assemany, Paula Peixoto; Cecon, Paulo Roberto; de Assis, Igor Rodrigues; Ribeiro, Vinicius Jose";;;;SCIENCE OF THE TOTAL ENVIRONMENT;JAN 1 2017;2017;574;;;;;1640;1648;;10.1016/j.scitotenv.2016.08.205;;;15;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;8;0
Assessment of microalgae and nitrifiers activity in a consortium in a continuous operation and the effect of oxygen depletion;"Vargas, Gustavo; Donoso-Bravo, Andres; Vergara, Christian; Ruiz-Filippi, Gonzalo";;;;ELECTRONIC JOURNAL OF BIOTECHNOLOGY;SEP 2016;2016;23;;;;;63;68;;10.1016/j.ejbt.2016.08.002;;;15;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;9;1
Microalgae population dynamics in photobioreactors with secondary sewage effluent as culture medium;"Marchello, Adriano E.; Lombardi, Ana T.; Dellamano-Oliveira, Maria Jose; de Souza, Clovis W. O.";;;;BRAZILIAN JOURNAL OF MICROBIOLOGY;MAY 2015;2015;46;1;;;;75;84;;10.1590/S1517-838246120131225;;;15;2,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;4;2;5;0
The microalgae derived hydrogen process in compact photobioreactors;"Vargas, J. V. C.; Mariano, A. B.; Correa, D. O.; Ordonez, J. C.";;;;INTERNATIONAL JOURNAL OF HYDROGEN ENERGY;JUN 15 2014;2014;39;18;;;;9588;9598;;10.1016/j.ijhydene.2014.04.093;;;15;1,88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;3;2;1;0;1
Improvements in the Separation Capabilities of Sequential Injection Chromatography: Determination of Intracellular Dissolved Free Amino Acid Profiles in Three Taxonomic Groups of Microalgae;"Rigobello-Masini, Marilda; Masini, Jorge C.";;;;PHYTOCHEMICAL ANALYSIS;MAY-JUN 2013;2013;24;3;;;;224;229;;10.1002/pca.2402;;;15;1,67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;1;1;4;1;0
Culture of microalga Spirulina platensis in alternative sources of nutrients;"da Rosa Andrade, Michele; Vieira Costa, Jorge Alberto";;;;CIENCIA E AGROTECNOLOGIA;SEP-OCT 2008;2008;32;5;;;;1551;1556;;;;;15;1,07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;1;0;1;2;3;4;0
